Date,y
5/26/2019,53900
5/26/2019,44000
5/26/2019,204600
5/26/2019,5225
5/26/2019,155100
5/26/2019,5500
5/26/2019,147950
5/26/2019,11000
5/27/2019,19800
5/27/2019,97900
5/27/2019,160600
5/27/2019,106150
5/27/2019,68750
5/27/2019,205150
5/27/2019,175450
5/27/2019,77550
5/27/2019,19250
5/27/2019,63800
5/27/2019,202950
5/27/2019,151800
5/27/2019,42900
5/27/2019,320650
5/27/2019,399850
5/27/2019,77550
5/27/2019,33000
5/27/2019,43450
5/27/2019,110550
5/27/2019,86900
5/27/2019,55000
5/27/2019,89320
5/27/2019,52800
5/27/2019,116600
5/27/2019,39600
5/27/2019,134200
5/27/2019,130350
5/27/2019,82500
5/27/2019,210100
5/27/2019,89650
5/27/2019,46750
5/27/2019,144650
5/27/2019,217250
5/27/2019,111100
5/27/2019,68266
5/27/2019,81400
5/27/2019,118250
5/27/2019,110550
5/27/2019,39600
5/27/2019,218900
5/27/2019,115500
5/27/2019,131450
5/27/2019,164450
5/27/2019,93500
5/27/2019,17600
5/27/2019,237050
5/27/2019,153450
5/27/2019,122650
5/27/2019,84150
5/27/2019,132000
5/27/2019,106700
5/27/2019,111650
5/27/2019,73150
5/27/2019,58300
5/27/2019,209000
5/27/2019,129800
5/27/2019,102300
5/27/2019,47300
5/27/2019,264550
5/27/2019,239800
5/27/2019,9350
5/27/2019,26400
5/27/2019,45298
5/27/2019,68200
5/27/2019,191400
5/27/2019,31900
5/27/2019,248050
5/27/2019,43450
5/27/2019,38500
5/27/2019,253000
5/27/2019,37950
5/27/2019,102850
5/27/2019,58300
5/27/2019,57750
5/28/2019,78650
5/28/2019,29150
5/28/2019,164450
5/28/2019,55550
5/28/2019,116050
5/28/2019,44000
5/28/2019,124850
5/28/2019,161700
5/28/2019,9900
5/28/2019,24750
5/28/2019,83600
5/28/2019,38500
5/28/2019,149050
5/28/2019,81400
5/28/2019,39600
5/28/2019,56100
5/28/2019,24750
5/28/2019,189200
5/28/2019,136400
5/28/2019,184250
5/28/2019,151800
5/28/2019,9350
5/28/2019,79200
5/28/2019,19800
5/28/2019,201300
5/28/2019,176550
5/28/2019,194700
5/28/2019,123200
5/28/2019,90200
5/28/2019,206250
5/28/2019,189200
5/28/2019,113300
5/28/2019,221100
5/28/2019,53900
5/28/2019,228800
5/28/2019,71500
5/28/2019,119900
5/28/2019,115500
5/28/2019,261250
5/28/2019,44550
5/28/2019,179300
5/28/2019,121000
5/28/2019,40700
5/28/2019,157850
5/28/2019,633600
